channel_id	program_original_title	program_local_title	program_release_year	start_date	start_time	duration
1724516231	You Don't Mess With the Zohan	Rien que pour vos cheveux	2008	20161108	12:35:00 AM	6600
1724516231	Muppets Most Wanted	Opération Muppets	2014	20161108	02:25:00 AM	8100
69040374	State of Play	La sombra del poder	2009	20161114	03:00:00 AM	7500
69040374	The Witches Of Eastwick	Las brujas de Eastwick	1987	20161114	05:05:00 AM	6900
69040374	Babe	Babe, el cerdito valiente	1995	20161114	07:00:00 AM	5400
69040374	Life as a House	La casa de mi vida	2001	20161114	08:30:00 AM	7500
69040374	Jerry Maguire	Jerry Maguire	1996	20161114	10:35:00 AM	8400
69040374	Night Train	Night Train	1998	20161114	12:55:00 PM	5700
69040374	A Promise	La promesa	2013	20161114	02:30:00 PM	6300
69040374	Los lunes al sol	Los Lunes al Sol	2002	20161114	04:15:00 PM	7200
69040374	In the Land of Blood and Honey	En tierra de sangre y miel	2011	20161114	06:15:00 PM	7800
69040374	Especial Jodie Foster. La niña que creció en Hollywood	Especial Jodie Foster. La niña que creció en Hollywood	2016	20161114	08:25:00 PM	2100
69040374	The Prestige	El truco final (El prestigio)	2006	20161114	09:00:00 PM	7800
69040374	Fight Club	El club de la lucha	1999	20161114	11:10:00 PM	15300
69040374	Sexo fácil, películas tristes	Sexo fácil, películas tristes	2015	20161115	03:25:00 AM	5400
69040374	The Reluctant Fundamentalist	El fundamentalista reticente	2012	20161115	04:55:00 AM	7500
69040374	Planta 4ª	Planta 4a	2003	20161115	07:00:00 AM	6000
69040374	Lethal Weapon	Arma letal	1987	20161115	08:40:00 AM	6600
69040374	Nikita	Nikita	1990	20161115	10:30:00 AM	6900
69040374	Pride & Prejudice	Orgullo y prejuicio	2005	20161115	12:25:00 PM	7500
69040374	Elsa Y Fred	Elsa & Fred	2005	20161115	02:30:00 PM	6000
69040374	The Mummy: Tomb of the Dragon Emperor	La Momia: La Tumba del Emperador Dragón	2008	20161115	04:10:00 PM	6900
69040374	Pool Fiction	Pool Fiction		20161115	06:05:00 PM	3300
69040374	The Railway Man	Un largo viaje	2013	20161115	07:00:00 PM	7200
69040374	Das Boot	El submarino	1981	20161115	09:00:00 PM	12300
69040374	The Humbling	La sombra del actor	2014	20161116	12:25:00 AM	6300
69040374	La laine sur le dos	La laine sur le dos	2016	20161116	02:10:00 AM	900
69040374	The samaritans	Los Samaritanos	2015	20161116	02:25:00 AM	780
69040374		¡Debe ser!	2016	20161116	02:38:00 AM	120
69040374	Made in Spain	Made in Spain	2016	20161116	02:40:00 AM	720
69040374	Across the Universe	Across the Universe	2007	20161108	04:50:00 AM	7800
69040374	Babe	Babe, el cerdito valiente	1995	20161108	07:00:00 AM	5700
69043571	Liv & Maddie	Liv and Maddie	2016	20161104	10:08:00 AM	1860
69043571	K.C. Undercover	K.C. Undercover	2016	20161104	11:43:00 AM	1860
69043571	Lab Rats	Lab Rats	2013	20161104	01:23:00 PM	1680
69043571	Lab Rats	Lab Rats	2013	20161104	01:51:00 PM	1860
69043571	Groove High	Groove High		20161104	11:40:00 PM	1200
69043571	Off Air	Off Air		20161105	12:00:00 AM	21600
69043571	Descendants: Wicked World	Descendants: Wicked World		20161109	09:03:00 AM	180
69043571	Good Luck Charlie	Good Luck Charlie	2010	20161110	01:23:00 PM	1680
69043571	Jessie	Jessie	2012	20161110	01:51:00 PM	1860
69043571	Jessie	Jessie	2012	20161110	03:27:00 PM	1860
69043571	K.C. Undercover	K.C. Undercover	2015	20161110	03:58:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2015	20161110	04:29:00 PM	1860
69043571	Lab Rats	Lab Rats	2014	20161110	06:33:00 PM	1920
69043571	Jessie	Jessie	2012	20161110	07:05:00 PM	1860
1636306181	Divorce	Divorce	2016	20161103	03:35:00 PM	2100
1636306181	Veep	Veep	2016	20161103	06:00:00 PM	2100
1636306181	Westworld	Westworld		20161107	02:00:00 AM	3600
1636306181	Wynonna Earp	Wynonna Earp	2016	20161110	12:25:00 AM	2700
1636306181	Wynonna Earp	Wynonna Earp	2016	20161110	01:10:00 AM	2700
1636306181	Power	Power	2016	20161110	01:55:00 AM	3900
1636306181	Any Given Wednesday With Bill Simmons	Any Given Wednesday With Bill Simmons		20161110	03:00:00 AM	1800
1636306181	Divorce	Divorce	2013	20161110	03:30:00 AM	2100
1636306181	Any Which Way You Can	Any Which Way You Can	1980	20161110	04:05:00 AM	6900
1724516231	Fun with Dick and Jane	Braqueurs amateurs	2005	20161110	03:25:00 PM	5400
1724516231	Persepolis	Persepolis	2007	20161110	04:55:00 PM	5700
1724516231	Muumit Rivieralla	Les Moomins sur la Riviera	2014	20161110	06:30:00 PM	4500
1724516231	Toy Story	Toy Story	1995	20161110	07:45:00 PM	4800
1724516231	Toy Story 2	Toy Story 2	1999	20161110	09:05:00 PM	5400
